class_string	label	tags	stack_size
PrimalItemStructure_DevTekReplicator_C	[Dev] Tek Replicator	object,blueprintable,tek	1
PrimalItemStructure_DevTekPod_C	[Dev] Tek Sleeping Pod	object,blueprintable	100
PrimalItemStructure_TekStove_C	[Dev] Tek Stove	object,blueprintable	100
PrimalItemStructure_DevTekTrough_C	[Dev] Tek Trough	object,blueprintable,tek	1
PrimalItemStructure_BetterTinkeringDesk_C	[Dev] Tinkering Desk	object,blueprintable	5
PrimalItemStructure_TranqTurret_C	[Dev] Tranq Turret	object,blueprintable	100
PrimalItemStructure_DevTreeSapTap_C	[Dev] Tree Sap Tap	object,blueprintable	100
PrimalItem_TribeTeleporter_C	[Dev] Tribe Teleporter	object,blueprintable	1
PrimalItemStructure_DevTribeTower_C	[Dev] Tribe Tower	object,blueprintable	1
PrimalItemConsumable_abAchatinaF_C	Ab Achatina F	object,blueprintable	
PrimalItemConsumable_abAchatinam_C	Ab Achatinam	object,blueprintable	
PrimalItemConsumable_abAnkylosaurusF_C	Ab Ankylosaurus F	object,blueprintable	
PrimalItemConsumable_abAnkylosaurusM_C	Ab Ankylosaurus M	object,blueprintable	
PrimalItemConsumable_abAraneom_C	Ab Araneom	object,blueprintable	
PrimalItemConsumable_abArthropleuraF_C	Ab Arthropleura F	object,blueprintable	
PrimalItemConsumable_abBaryF_C	Ab Bary F	object,blueprintable	
PrimalItemConsumable_abBaryM_C	Ab Bary M	object,blueprintable	
PrimalItemConsumable_abBeezlebufoF_C	Ab Beezlebufo F	object,blueprintable	
PrimalItemConsumable_abBeezlebufoM_C	Ab Beezlebufo M	object,blueprintable	
PrimalItemConsumable_abBigfootF_C	Ab Bigfoot F	object,blueprintable	
PrimalItemConsumable_abBigfootM_C	Ab Bigfoot M	object,blueprintable	
PrimalItemConsumable_abCarboF_C	Ab Carbo F	object,blueprintable	
PrimalItemConsumable_abCarboM_C	Ab Carbo M	object,blueprintable	
PrimalItemConsumable_abCarnoF_C	Ab Carno F	object,blueprintable	
PrimalItemConsumable_abCarnoM_C	Ab Carno M	object,blueprintable	
PrimalItemConsumable_abDimeM_C	Ab Dime M	object,blueprintable	
PrimalItemConsumable_abDimetrodonF_C	Ab Dimetrodon F	object,blueprintable	
PrimalItemConsumable_abDireBearF_C	Ab Dire Bear F	object,blueprintable	
PrimalItemConsumable_abDireBearM_C	Ab Dire Bear M	object,blueprintable	
PrimalItemConsumable_abDodoF_C	Ab Dodo F	object,blueprintable	
PrimalItemConsumable_abDodoM_C	Ab Dodo M	object,blueprintable	
PrimalItemConsumable_abDoedF_C	Ab Doed F	object,blueprintable	
PrimalItemConsumable_abDoedM1_C	Ab Doed M1	object,blueprintable	
PrimalItemConsumable_abDungF_C	Ab Dung F	object,blueprintable	
PrimalItemConsumable_abElectrof_C	Ab Electrof	object,blueprintable	
PrimalItemConsumable_abElectrom_C	Ab Electrom	object,blueprintable	
PrimalItemConsumable_abEquusF_C	Ab Equus F	object,blueprintable	
PrimalItemConsumable_abEquusM_C	Ab Equus M	object,blueprintable	
PrimalItemConsumable_abLystrosaurusM_C	Ab Lystrosaurus M	object,blueprintable	
PrimalItemConsumable_abLystrosaurusnF_C	Ab Lystrosaurusn F	object,blueprintable	
PrimalItemConsumable_abMantaF_C	Ab Manta F	object,blueprintable	
PrimalItemConsumable_abMantaM_C	Ab Manta M	object,blueprintable	
PrimalItemConsumable_abMegaloF_C	Ab Megalo F	object,blueprintable	
PrimalItemConsumable_abMegaloM_C	Ab Megalo M	object,blueprintable	
PrimalItemConsumable_abMoschopsF_C	Ab Moschops F	object,blueprintable	
PrimalItemConsumable_abMoschopsM_C	Ab Moschops M	object,blueprintable	
PrimalItemConsumable_abOtterF_C	Ab Otter F	object,blueprintable	
PrimalItemConsumable_abOtterM_C	Ab Otter M	object,blueprintable	
PrimalItemConsumable_abOvisF_C	Ab Ovis F	object,blueprintable	
PrimalItemConsumable_abOvisM_C	Ab Ovis M	object,blueprintable	
PrimalItemConsumable_abParacerF_C	Ab Paracer F	object,blueprintable	
PrimalItemConsumable_abParacerM_C	Ab Paracer M	object,blueprintable	
PrimalItemConsumable_abParasaurF_C	Ab Parasaur F	object,blueprintable	
PrimalItemConsumable_abParasaurM_C	Ab Parasaur M	object,blueprintable	
PrimalItemConsumable_abPurloviaF_C	Ab Purlovia F	object,blueprintable	
PrimalItemConsumable_abPurloviaM_C	Ab Purlovia M	object,blueprintable	
PrimalItemConsumable_abRaptorF_C	Ab Raptor F	object,blueprintable	
PrimalItemConsumable_abRaptorM_C	Ab Raptor M	object,blueprintable	
PrimalItemConsumable_abSarcoF_C	Ab Sarco F	object,blueprintable	
PrimalItemConsumable_abSarcoM_C	Ab Sarco M	object,blueprintable	
PrimalItemConsumable_abSpinoF_C	Ab Spino F	object,blueprintable	
PrimalItemConsumable_abSpinoM_C	Ab Spino M	object,blueprintable	
PrimalItemConsumable_abStegoF_C	Ab Stego F	object,blueprintable	
PrimalItemConsumable_abStegoM_C	Ab Stego M	object,blueprintable	
PrimalItemConsumable_abTrikeM_C	Ab Trike M	object,blueprintable	
PrimalItemConsumable_abTrikeoF_C	Ab Trikeo F	object,blueprintable	
PrimalItemConsumable_ababArthropleuraM_C	Abab Arthropleura M	object,blueprintable	
PrimalItemConsumable_abanglerf_C	Abanglerf	object,blueprintable	
PrimalItemConsumable_abanglerm_C	Abanglerm	object,blueprintable	
PrimalItemConsumable_abbAraneoF_C	Abb Araneo F	object,blueprintable	
PrimalItemConsumable_AbbStarter_C	Abb Starter	object,blueprintable	
PrimalItemSkin_AberrantGhillie_Boots_C	Aberrant Ghillie Boots	object	1
PrimalItemSkin_AberrantGhillie_Shirt_C	Aberrant Ghillie Chestpiece	object	1
PrimalItemSkin_AberrantGhillie_Gloves_C	Aberrant Ghillie Gauntlets	object	1
PrimalItemSkin_AberrantGhillie_Pants_C	Aberrant Ghillie Leggings	object	1
PrimalItemSkin_AberrantGhillie_Helmet_C	Aberrant Ghillie Mask	object	1
PrimalItemSkin_AberrationHelmet_C	Aberration Helmet Skin	object,skin	1
PrimalItemSkin_AberrationSword_C	Aberration Sword Skin	object,skin	1
PrimalItemResource_SubstrateAbsorbent_C	Absorbent Substrate	object,resource	100
PrimalItemCostume_AAA_Achatina_C	Achatina 'ARK: The Animated Series' Costume	object,skin	1
PrimalItemConsumable_AchatinaF_C	Achatina F	object,blueprintable	
PrimalItemResource_SnailPaste_C	Achatina Paste	object,resource	100
PrimalItemResource_SnailPaste_ValhallaExtras_C	Achatina Paste (VE)	object	100
PrimalItemConsumable_Achatinam_C	Achatinam	object,blueprintable	
PrimalItemArmor_AcrophyseterSaddle_C	Acrophyseter Saddle	object,the_sunken_world	1
PrimalItemStructureSkin_AdditionalStructures_Tileset_FloorSkins_C	AdditionalStructures Floor	object,blueprintable	1
PrimalItemStructureSkin_AdditionalStructures_Tileset_FramelessGlass_C	AdditionalStructures Frameless Glass Structures	object,blueprintable	1
PrimalItemStructure_AdminFlag_ArksDream_C	Admin Flag	object	
PrimalItemStructure_Ceiling_Door_XL_Adobe_C	Adobe Behemoth Cellar Door	object,blueprintable	5
PrimalItemStructure_AdobeGateDoor_Large_C	Adobe Behemoth Gate	object,blueprintable	5
PrimalItemStructure_AdobeGateframe_Large_C	Adobe Behemoth Gateway	object,blueprintable	5
PrimalItemStructure_AdobeCeiling_C	Adobe Ceiling & Hatchframe	object,blueprintable	100
PrimalItemStructure_AdobeDoor_C	Adobe Doors & Windows	object,blueprintable	100
PrimalItemStructure_AdditionalStructures_Stairs_Adobe_Double_C	Adobe Double Stairs	object,blueprintable	100
PrimalItemStructure_AdobeFenceFoundation_C	Adobe Fence Foundation & Support	object,blueprintable	100
PrimalItemStructure_AdobeFloor_C	Adobe Foundation	object,blueprintable	100
PrimalItemStructure_AdobeGateDoor_C	Adobe Gate	object,blueprintable	100
PrimalItemStructure_AdobeFrameGate_C	Adobe Gateway	object,blueprintable	100
PrimalItemStructure_AdobeLader_C	Adobe Ladder	object,blueprintable	100
PrimalItemStructure_AdobeCeilingDoorGiant_C	Adobe Large Cellar Door	object,blueprintable	5
PrimalItemStructure_LargeWall_Adobe_C	Adobe Large Wall	object,blueprintable	100
PrimalItemStructure_AdobePillar_C	Adobe Pillar	object,blueprintable	100
PrimalItemStructure_TriCeiling_Adobe_C	Adobe Quarter & Triangle Ceiling	object,blueprintable	100
PrimalItemStructure_AdobeRailing_C	Adobe Quarter Wall & Railing	object,blueprintable	100
PrimalItemStructure_Ramp_Adobe_C	Adobe Roof, Ramp, & Stairs	object,blueprintable	100
PrimalItemStructure_AdobeWall_Sloped_Left_C	Adobe Sloped Wall	object,blueprintable	100
PrimalItemStructure_TriFoundation_Adobe_C	Adobe Triangle & Quarter Foundation	object,blueprintable	100
PrimalItemStructure_TriRoof_Adobe_C	Adobe Triangle Roof & Corner	object,blueprintable	100
PrimalItemStructure_AdditionalStructures_Stairs_Adobe_Triple_C	Adobe Triple Stairs	object,blueprintable	100
PrimalItemStructure_AdobeWall_C	Adobe Wall, Doorways, & Windowframe	object,blueprintable	100
PrimalItemAmmo_AdvancedBullet_C	Advanced Bullet	object,blueprintable	100
PrimalItemStructure_AdvancedCoolingBox_C	Advanced Cooling Box (Removing in Update V9)	object,blueprintable	1
PrimalItemStructure_DraconicAircon_C	Advanced Incubator	object,blueprintable	100
PrimalItem_Blackpearlpick_C	Advanced Metal Pick	object,blueprintable	1
PrimalItemAmmo_AdvancedRifleBullet_C	Advanced Rifle Bullet	object,blueprintable	100
PrimalItemAmmo_AdvancedSniperBullet_C	Advanced Sniper Bullet	object,blueprintable	100
PrimalItemResource_CommonMushroom_C	Aggeravic Mushroom	object,harvestable,resource	100
PrimalItemStructure_AirConditioner_C	Air Conditioner	object,blueprintable	1
PrimalItemSkin_CharacterSkin_Alasie_SkinPack_C	Alasie 'ARK: The Animated Series' Costume Skin	object,blueprintable,skin	1
PrimalItemSkin_CharacterSkin_Alasie_C	Alasie 'ARK: The Animated Series' Costume Skin (Dear Jane)	object,blueprintable,skin	1
PrimalItemConsumableEatable_Sushi_ASA_C	Algae Sushi	object	10
PrimalItemConsumable_allofemale_C	Allofemale	object,blueprintable	
PrimalItemConsumable_allomale_C	Allomale	object,blueprintable	
PrimalItemCostume_AAA_Allosaurus_C	Allosaurus 'ARK: The Animated Series' Costume	object,skin	1
PrimalItemResource_ApexDrop_Allo_C	Allosaurus Brain	object,resource	100
PrimalItemConsumable_Egg_Allo_C	Allosaurus Egg	object,egg	100
PrimalItemArmor_AlloSaddle_C	Allosaurus Saddle	object,blueprintable	1
PrimalItemResource_ApexDrop_Basilisk_Alpha_C	Alpha Basilisk Fang	object,resource	100
PrimalItemTrophy_Broodmother_Alpha_C	Alpha Broodmother Trophy	object,resource,reward	1
PrimalItemResource_ApexDrop_AlphaCarno_C	Alpha Carnotaurus Arm	object,resource	100
PrimalItemTrophy_AlphaWorm_C	Alpha Deathworm Trophy	object,reward	1
PrimalItemTrophy_Dragon_Alpha_C	Alpha Dragon Trophy	object,resource,reward	1
PrimalItemTrophy_Megaraptor_Alpha_C	Alpha Grendel Trophy	object	1
PrimalItemResource_ApexDrop_CrabClaw_C	Alpha Karkinos Claw	object,resource	100
PrimalItemResource_ApexDrop_AlphaLeeds_C	Alpha Leedsichthys Blubber	object,resource	100
PrimalItemTrophy_Manticore_Alpha_C	Alpha Manticore Trophy	object,reward	1
PrimalItemResource_ApexDrop_AlphaMegalodon_C	Alpha Megalodon Fin	object,resource	100
PrimalItemTrophy_Gorilla_Alpha_C	Alpha Megapithecus Trophy	object,resource,reward	1
PrimalItemResource_ApexDrop_AlphaMosasaur_C	Alpha Mosasaur Tooth	object,resource	100
PrimalItemTrophy_Gorgon_Alpha_C	Alpha Natrix Trophy	object	1
PrimalItemTrophy_IceWyvern_Alpha_C	Alpha Nunatak Trophy	object	1
PrimalItemResource_ApexDrop_SnowMonster_C	Alpha Ossidon Skull	object,resource	100
PrimalItemResource_ApexDrop_AlphaRaptor_C	Alpha Raptor Claw	object,resource	100
PrimalItemResource_ApexDrop_ReaperBarb_C	Alpha Reaper King Barb	object,resource	100
PrimalItemTrophy_AlphaRex_C	Alpha Rex Trophy	object,reward	1
PrimalItemTrophy_Cyclops_Alpha_C	Alpha Thodes Trophy	object	1
PrimalItemResource_ApexDrop_AlphaTuso_C	Alpha Tusoteuthis Eye	object,resource	100
PrimalItemResource_ApexDrop_AlphaRex_C	Alpha Tyrannosaur Tooth	object,resource	100
PrimalItemTrophy_AlphaWyvern_C	Alpha Wyvern Trophy	object,reward	1
PrimalItemResource_ApexDrop_Zombie_C	Alpha Zombie Brains	object,resource	100
PrimalItemConsumable_Berry_Amarberry_C	Amarberry	object,harvestable,resource	100
PrimalItemConsumable_Seed_Amarberry_C	Amarberry Seed	object,harvestable,resource	100
PrimalItemArmor_AmargaSaddle_ASA_C	Amargasaurus Saddle	object,blueprintable	1
PrimalItemResource_AmargaSpike_ASA_C	Amargasaurus Spike	object,resource	1
PrimalItemArmor_AmbulocetusSaddle_C	Ambulocetus Saddle	object,the_sunken_world	1
PrimalItemConsumable_AmmoKit1_C	Ammo Kit1	object,blueprintable	
PrimalItemResource_AmmoniteBlood_C	Ammonite Bile	object,harvestable,resource	50
PrimalItemArmor_AndrewsarchusSaddle_New_C	Andrewsarchus Saddle	object,blueprintable	1
PrimalItemConsumable_Veggie_Angelberry_C	Angelberry	object,harvestable,resource,the_sunken_world	100
PrimalItemConsumable_Seed_Angelberry_C	Angelberry Seed	object,harvestable,the_sunken_world	100
PrimalItemResource_AnglerGel_C	Angler Gel	object,harvestable,resource	100
PrimalItemConsumable_anglerf_C	Anglerf	object,blueprintable	
PrimalItemCostume_AAA_Anglerfish_C	Anglerfish 'ARK: The Animated Series' Costume	object,skin	1
PrimalItemCostume_BP_AnglerfishCharm_C	Anglerfish Charm	object,blueprintable	1
PrimalItemConsumable_anglerm_C	Anglerm	object,blueprintable	
PrimalItemConsumable_Egg_Ankylo_C	Ankylo Egg	object,egg	100
PrimalItemCostume_AAA_Ankylo_SkinPack_C	Ankylosaurus 'ARK: The Animated Series' Costume	object,skin	1
PrimalItemCostume_AAA_Ankylo_C	Ankylosaurus 'ARK: The Animated Series' Costume (Dear Jane)	object,skin	1
PrimalItemConsumable_AnkylosaurusF_C	Ankylosaurus F	object,blueprintable	
PrimalItemConsumable_AnkylosaurusM_C	Ankylosaurus M	object,blueprintable	
PrimalItemArmor_AnkyloSaddle_C	Ankylosaurus Saddle	object,blueprintable	1
PrimalItemConsumable_Crafted_AnniversaryCandy_C	Anniversary Candy	object	1
PrimalItemConsumable_UnderwaterEgg_Anoma_C	Anomalocaris Egg	object,egg,the_sunken_world	
PrimalItemWeaponGenericNoStats_C	Any "No Stat" Weapon	object,generic,no_fibercraft	
PrimalItemAmmo_Base_C	Any Ammo	object,generic,no_fibercraft	100
PrimalItemWeaponGenericAmmoless_C	Any Ammoless Weapon	object,generic,no_fibercraft	
PrimalItemArmorGeneric_C	Any Armor	object,generic,no_fibercraft	
PrimalItemArtifactGeneric_C	Any Artifact	object,generic,no_fibercraft,resource	
PrimalItemConsumable_Egg_XSmall_C	Any Basic Egg	object,egg,generic,no_fibercraft,resource	100
PrimalItemConsumable_Seed_BaseBerry_C	Any Berry Seed	object,generic,no_fibercraft	
PrimalItemArmor_BaseBoots_C	Any Boots	object,blueprintable,generic,no_fibercraft	1
PrimalItemWeapon_StoresCharge_C	Any Charge Weapon	object,generic,no_fibercraft	
PrimalItemSkin_ChibiDino_Base_C	Any Chibi	object,generic,no_fibercraft	1
PrimalItem_WeaponBaseClub_C	Any Club	object,blueprintable,generic,no_fibercraft	1
PrimalItemDyeGeneric_C	Any Coloring	object,generic,no_fibercraft	100
PrimalItemResource_Craftable_C	Any Craftable Resource	object,generic,no_fibercraft,resource	100
PrimalItemConsumable_Egg_C	Any Egg	object,egg,generic,no_fibercraft,resource	100
PrimalItemConsumable_Egg_XtraLarge_C	Any Exceptional Egg	object,egg,generic,no_fibercraft,resource	100
PrimalItemConsumable_Egg_Special_C	Any Extraordinary Egg	object,egg,generic,no_fibercraft,resource	100
PrimalItemConsumable_Egg_Wyvern_Fertilized_C	Any Fertilized Wyvern Egg	object,egg,generic	1
PrimalItemConsumable_Fertilizer_Base_C	Any Fertilizer	object,generic,no_fibercraft	1
PrimalItemConsumable_UnderwaterEgg_C	Any Fish Egg	object,egg,generic,no_fibercraft	100
PrimalItemArmor_BaseGloves_C	Any Gloves	object,blueprintable,generic,no_fibercraft	1
PrimalItemWeaponGenericGun_C	Any Gun	object,generic,no_fibercraft	
PrimalItemArmor_BaseHelmet_C	Any Hat	object,blueprintable,generic,no_fibercraft	1
PrimalItem_WeaponBaseHatchet_C	Any Hatchet	object,blueprintable,generic,no_fibercraft	1
PrimalItemConsumable_Meat_Base_C	Any Meat	object,generic,no_fibercraft	20
PrimalItemArmor_BasePants_C	Any Pants	object,blueprintable,generic,no_fibercraft	1
PrimalItem_WeaponBasePick_C	Any Pick	object,blueprintable,generic,no_fibercraft	1
PrimalItemConsumablePoop_C	Any Poop	object,generic,no_fibercraft,resource	1
PrimalItem_RecipeNote_Base_C	Any Recipe	object,blueprintable,generic,no_fibercraft	1
PrimalItemConsumable_Egg_Medium_C	Any Regular Egg	object,egg,generic,no_fibercraft,resource	100
PrimalItemResourceGeneric_C	Any Resource	object,generic,no_fibercraft,resource	
PrimalItemArmor_SaddleGeneric_C	Any Saddle	object,blueprintable,generic,no_fibercraft	1
PrimalItemConsumableSeed_C	Any Seed	object,generic,resource	100
PrimalItemArmor_Shield_C	Any Shield	object,blueprintable,generic,no_fibercraft	1
PrimalItemArmor_BaseShirt_C	Any Shirt	object,blueprintable,generic,no_fibercraft	1
PrimalItemConsumable_Egg_Small_C	Any Simple Egg	object,egg,generic,no_fibercraft,resource	100
PrimalItemWeaponGenericAmmolessConsumeSelf_C	Any Single-Use Weapon	object,generic,no_fibercraft	
PrimalItemWeaponGenericAmmolessConsumeSelf_Spoils_C	Any Spoiling Single-Use Weapon	object,generic,no_fibercraft	
PrimalItemConsumable_Egg_Large_C	Any Superior Egg	object,egg,generic,no_fibercraft,resource	100
PrimalItemArmor_Base_Tek_C	Any Tek Armor	object,generic,no_fibercraft	
PrimalItemArmor_SaddleGeneric_Tek_C	Any Tek Saddle	object,blueprintable,generic,no_fibercraft	1
PrimalItemConsumable_Veggie_Base_C	Any Veggie	object,generic,no_fibercraft	100
PrimalItemConsumable_Seed_BaseVeggie_C	Any Veggie Seed	object,generic,no_fibercraft	
PrimalItemWeaponGeneric_C	Any Weapon	object,generic,no_fibercraft	
PrimalItemWeaponAttachmentGeneric_C	Any Weapon Attachment	object,generic,no_fibercraft	
PrimalItem_AoACoin_C	Ao A Coin	object,blueprintable	
PrimalItem_AoACoin_C	Ao A Coin	object,blueprintable	
PrimalItemConsumable_AoAPresent_C	Ao A Present	object,blueprintable	
PrimalItemResource_ApexDrop_ChaoticCrystal_C	Apex Drop Chaotic Crystal	object,resource,reward	
PrimalItemResource_ApexDrop_EternalIce_C	Apex Drop Eternal Ice	object,resource,reward	
PrimalItemResource_ApexDrop_MeatBody_C	Apex Drop Meat Body	object,resource	
PrimalItemResource_ApexDrop_MeatBrain_C	Apex Drop Meat Brain	object,resource	
PrimalItemResource_ApexDrop_MeatHead_C	Apex Drop Meat Head	object,resource	
PrimalItemResource_ApexDrop_MeatLeg_C	Apex Drop Meat Leg	object,resource	
AP_PrimalItem_PropagatorEgg_C	Applez Dino Egg	object,egg	1
AP_PrimalItemStructure_Propagator_C	Applez Propagator	object,blueprintable,tek	100
PrimalItemDye_Spring_5_Aquamarine_C	Aquamarine Coloring	object,dye	100
PrimalItemConsumable_Mushroom_Aquatic_C	Aquatic Mushroom	object,harvestable,resource	100
PrimalItemCostume_AAA_Spider_Small_C	Araneo 'ARK: The Animated Series' Costume	object,skin	1
PrimalItemConsumable_AraneoF_C	Araneo F	object,blueprintable	
PrimalItemArmor_SpiderSaddle_C	Araneo Saddle	object,blueprintable	1
PrimalItemConsumable_Araneom_C	Araneom	object,blueprintable	
PrimalItemCostume_AAA_Archaeopteryx_C	Archaeopteryx 'ARK: The Animated Series' Costume	object,skin	1
PrimalItemConsumable_Egg_Archa_C	Archaeopteryx Egg	object,egg	100
PrimalItemConsumable_ArchaeopteryxF_C	Archaeopteryx F	object,blueprintable	
PrimalItemConsumable_ArchaeopteryxM_C	Archaeopteryx M	object,blueprintable	
PrimalItemConsumable_Veggie_TurtleAlgae_ASA_C	Archelon Algae	object,resource	100
PrimalItemConsumable_Egg_Archelon_ASA_C	Archelon Egg	object,egg	100
PrimalItem_Armor_Archelon_Saddle_ASA_C	Archelon Saddle	object,blueprintable	1
PrimalItemArmor_ArcticBoots_C	Arctic Scout Boots	object,blueprintable	1
PrimalItemArmor_ArcticShirt_C	Arctic Scout Chestpiece	object,blueprintable	1
PrimalItemArmor_ArcticGloves_C	Arctic Scout Gauntlets	object,blueprintable	1
PrimalItemArmor_ArcticHelmet_C	Arctic Scout Helmet	object,blueprintable	1
PrimalItemArmor_ArcticPants_C	Arctic Scout Leggings	object,blueprintable	1
PrimalItemCostume_AAA_Argentavis_SkinPack_C	Argentavis 'ARK: The Animated Series' Costume	object,skin	1
PrimalItemCostume_AAA_Argentavis_C	Argentavis 'ARK: The Animated Series' Costume (Dear Jane)	object,skin	1
PrimalItemConsumable_Egg_Argent_C	Argentavis Egg	object,egg	100
PrimalItemConsumable_ArgentavisF_C	Argentavis F	object,blueprintable	
PrimalItemConsumable_ArgentavisM_C	Argentavis M	object,blueprintable	
PrimalItemArmor_ArgentavisSaddle_C	Argentavis Saddle	object,blueprintable	1
PrimalItemResource_ApexDrop_Argentavis_C	Argentavis Talon	object,resource	100
PrimalItemArmor_SpineyLizardPromoSaddle_C	ARK Thorny Dragon Saddle Skin	object,reward,skin	1
PrimalItemStructure_ARKomaticAmmunitionCrafter_C	ARKomatic Ammunition Crafter	object,blueprintable	
PrimalItemStructure_ARKomaticCompositeCrafter_C	ARKomatic Composite Crafter	object,blueprintable	
PrimalItemStructure_ARKomaticEggCollector_C	ARKomatic Egg Collector	object,blueprintable	
PrimalItemStructure_ARKomaticForge_C	ARKomatic Forge	object,blueprintable	
PrimalItemStructure_ARKomaticMeatSpoiler_C	ARKomatic Meat Spoiler	object,blueprintable	
PrimalItemStructure_ARKomaticPoopCollector_C	ARKomatic Poop Collector	object,blueprintable	
PrimalItemStructure_ARKomaticRefrigerator_C	ARKomatic Refrigerator	object,blueprintable	
PrimalItemStructure_ARKomaticTerrarium_C	ARKomatic Terrarium	object,blueprintable	
